feature,correlation,p_value,type,sample_size
estadificacion_,0.4705066993795996,5.078984872229724e-09,numeric,139
tumor_grade_preop,0.46409455096493724,4.384672492171845e-10,numeric,163
chemotherapy,0.4281710172164974,3.371104878658195e-08,numeric,153
figo_stage_2023,0.4213589179105522,1.770851276432328e-07,numeric,142
preoperative_staging,0.41878349072357296,3.5649883501624205e-08,numeric,160
final_grade,0.41494073421937905,2.1121369106957544e-07,numeric,145
tec_Qx,0.4018518357919932,4.1413987396012237e-07,numeric,148
distant_metastasis,0.39637687181006015,2.314311264375716e-07,numeric,159
preoperative_risk_group,0.39459777154472764,2.2234233789300267e-07,numeric,161
ap_gPaor_total,0.3802430748393031,2.1646818495701187e-05,numeric,118
est_pcte,0.3337154737941138,1.3412718570171684e-05,numeric,163
tec_linf_para,0.3275405572531742,0.00011193105620515924,numeric,134
myometrial_invasion,0.3041335708487879,0.0001899078438715749,numeric,146
lymphovascular_invasion,0.3001619466305227,0.000256975685121429,numeric,144
n_total_ganPaor_infra,0.2996608712658768,0.0018044704382492672,numeric,106
surgery_time,0.29961870786745415,0.00035686416195518096,numeric,138
ap_gPor_afect_tot,0.29943524490713846,0.0012733913769057714,numeric,113
afectacion_omen,0.2989317331821772,0.000708269553568348,numeric,125
n_total_ganPaor_supr,0.2916774441868165,0.002536437918719847,numeric,105
n_total_ganCent,0.28027099556821766,0.0014154547161438424,numeric,127
