feature,correlation,p_value,type,sample_size
recidiva_exitus,0.9308262665370992,2.793635374394692e-72,numeric,163
estadificacion_,0.4536743990267512,2.037735191732553e-08,numeric,139
final_grade,0.4532874229049668,1.0330962149854665e-08,numeric,145
lymphovascular_invasion,0.4385340778003791,3.849956759416078e-08,numeric,144
tumor_grade_preop,0.41109885366353005,5.005511450672506e-08,numeric,163
preoperative_risk_group,0.4042454735061186,1.048635208206782e-07,numeric,161
figo_stage_2023,0.3976158499106875,9.592455731977105e-07,numeric,142
inf_param_vag,0.37339487340310623,3.450768997132557e-06,numeric,146
histological_subtype_preop,0.3628803475463746,1.9303661406004453e-06,numeric,163
final_histology,0.36182995838288623,4.996495607153465e-06,numeric,151
surgery_time,0.3571557262747135,1.7066788301641217e-05,numeric,138
tec_Qx,0.3489302186513867,1.3843424603481296e-05,numeric,148
chemotherapy,0.3363490609977118,2.12999863499844e-05,numeric,153
preoperative_staging,0.3276632898669949,2.3419847396366856e-05,numeric,160
indication_radiotherapy,0.3259423895759417,3.4927777436680475e-05,numeric,155
est_pcte,0.3233035604059018,2.559237327758387e-05,numeric,163
tec_linf_para,0.3190980437395027,0.0001713097338766972,numeric,134
ap_gPaor_total,0.3084569417297367,0.0006780875919963604,numeric,118
infilt_estr_cervix,0.300629932807991,0.00018549240402245177,numeric,150
sentinel_node_pathology,0.2859851796140258,0.0008867944577287856,numeric,132
