feature,association_score,time_corr,event_corr,time_p,event_p,type,sample_size
diferencia_dias_reci_exit,0.6331080228218536,1.0,-0.2662160456437072,0.0,0.0006415943679754717,numeric,161
os_time,0.5616263007732686,0.9684959386125128,-0.1547566629340244,6.578359412244942e-98,0.04997627137841577,numeric,161
recidiva_exitus,0.5336042660341402,-0.35567792383651187,0.7115306082317687,3.6530867906910632e-06,3.782536565354078e-26,numeric,161
estadificacion_,0.40545904995802795,-0.31472541846593205,0.49619268145012385,0.00016103600708115143,5.245696712477157e-10,numeric,139
tumor_grade_preop,0.395314386966401,-0.32267061958138044,0.4679581543514215,2.9858217214503607e-05,3.8693223369125857e-10,numeric,161
figo_stage_2023,0.3938668653590604,-0.31782322797860196,0.46991050273951884,0.00012282814125948678,4.133844019700343e-09,numeric,141
preoperative_risk_group,0.38362412106091726,-0.3435347880932843,0.42371345402855015,9.279583628211308e-06,2.6201063479588805e-08,numeric,159
final_grade,0.3824346574852827,-0.29762284743772194,0.46724646753284355,0.00029143238934946364,3.551139419735164e-09,numeric,144
est_pcte,0.37483920040983987,-0.4578078577005331,0.2918705431191466,1.0223180834474892e-09,0.00017216921819501193,numeric,161
preoperative_staging,0.3594058613345447,-0.36042244875850465,0.3583892739105848,3.2907928672661873e-06,3.7705679537742483e-06,numeric,158
os_event,0.3555103392862192,-0.44553768946631755,0.26548298910612084,3.173592923969125e-09,0.0006649415104695116,numeric,161
chemotherapy,0.3340246161700939,-0.26265688417603533,0.4053923481641524,0.0011213652098702475,2.422487146614581e-07,numeric,151
lymphovascular_invasion,0.31843479033441013,-0.18327933326600715,0.45359024740281306,0.028447380031222342,1.2766640494715413e-08,numeric,143
sentinel_node_pathology,0.2898723917700521,0.3430614051829372,0.2366833783571669,6.0381201106349384e-05,0.006492996418532692,numeric,131
ap_gPaor_total,0.2892120134097731,-0.14647776496452303,0.43194626185502316,0.11347452413546427,1.039638269985631e-06,numeric,118
tec_Qx,0.2877273094619642,-0.12810465947078103,0.4473499594531473,0.1233300122326877,1.5062265758893986e-08,numeric,146
ap_gPor_afect_tot,0.28112000121178016,-0.31442651088885604,0.24781349153470425,0.0006946442979448905,0.008134935790490936,numeric,113
total_sentinel_nodes,0.2732916891058558,-0.338355294094899,-0.20822808411681254,6.793224674093607e-05,0.01616533235041812,numeric,133
afectacion_omen,0.26515576292036397,-0.1839190369622987,0.3463924888784292,0.04005625688641595,7.58630007686357e-05,numeric,125
tec_linf_para,0.2604263871543063,0.06143225153914695,0.45942052276946566,0.48408275401781586,3.0059562304701804e-08,numeric,132
